epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,342.159,1.14334,1.26726,1.2597,0.87389,0.5625,0.7144,0.36747,1.28068,1.71051,1.34833,0.0011684,0.0011684,0.0011684
44,350.032,1.21252,1.34822,1.34984,0.90745,0.6137,0.68051,0.39822,1.46025,1.91523,1.41867,0.0011486,0.0011486,0.0011486
45,357.832,1.12815,1.52086,1.28277,0.90745,0.6137,0.68051,0.39822,1.46025,1.91523,1.41867,0.0011288,0.0011288,0.0011288
46,365.569,1.26598,1.53541,1.41129,1,0.54849,0.71495,0.42016,1.23965,1.69451,1.32083,0.001109,0.001109,0.001109
47,373.395,1.20812,1.26756,1.28471,0.88851,0.5625,0.65317,0.39724,1.28031,1.70479,1.31574,0.0010892,0.0010892,0.0010892
48,381.229,1.13619,1.31666,1.30296,0.88851,0.5625,0.65317,0.39724,1.28031,1.70479,1.31574,0.0010694,0.0010694,0.0010694
49,389.188,1.07649,1.25835,1.28725,0.99397,0.5625,0.7154,0.38272,1.31602,1.49911,1.36676,0.0010496,0.0010496,0.0010496
50,397.187,1.1364,1.18934,1.24961,0.99397,0.5625,0.7154,0.38272,1.31602,1.49911,1.36676,0.0010298,0.0010298,0.0010298
51,405.154,1.16207,1.25888,1.32498,1,0.56136,0.71611,0.41505,1.3005,1.43521,1.30689,0.00101,0.00101,0.00101
52,412.914,1.05842,1.15762,1.23113,1,0.55332,0.72643,0.46107,1.29697,1.38326,1.25891,0.0009902,0.0009902,0.0009902
53,420.706,1.15924,1.19439,1.2917,1,0.55332,0.72643,0.46107,1.29697,1.38326,1.25891,0.0009704,0.0009704,0.0009704
54,428.615,1.14692,1.22233,1.28034,0.90804,0.61775,0.70092,0.4454,1.33263,1.47297,1.28614,0.0009506,0.0009506,0.0009506
55,436.685,1.14061,1.17518,1.33744,1,0.55674,0.66598,0.41387,1.3738,1.57905,1.36541,0.0009308,0.0009308,0.0009308
56,444.312,1.04408,1.11733,1.27893,1,0.55674,0.66598,0.41387,1.3738,1.57905,1.36541,0.000911,0.000911,0.000911
57,452.035,1.07154,1.30214,1.34569,0.98826,0.5,0.57662,0.364,1.36732,1.54266,1.36173,0.0008912,0.0008912,0.0008912
58,459.874,1.11207,1.17858,1.2606,0.98826,0.5,0.57662,0.364,1.36732,1.54266,1.36173,0.0008714,0.0008714,0.0008714
59,467.638,1.02575,1.18001,1.28359,0.98841,0.5,0.63326,0.38714,1.25157,1.59591,1.31508,0.0008516,0.0008516,0.0008516
60,475.378,0.97286,1.16742,1.16004,1,0.5571,0.67702,0.43152,1.18424,1.5495,1.27676,0.0008318,0.0008318,0.0008318
61,483.138,1.09892,1.18513,1.25404,1,0.5571,0.67702,0.43152,1.18424,1.5495,1.27676,0.000812,0.000812,0.000812
62,490.899,0.99548,1.1006,1.16425,0.8559,0.625,0.69178,0.41421,1.1644,1.50214,1.25472,0.0007922,0.0007922,0.0007922
63,498.745,1.02113,1.16859,1.18033,1,0.49898,0.68642,0.40492,1.1718,1.50407,1.29078,0.0007724,0.0007724,0.0007724
64,506.783,1.02994,1.06983,1.20265,1,0.49898,0.68642,0.40492,1.1718,1.50407,1.29078,0.0007526,0.0007526,0.0007526
65,514.783,0.9378,0.97688,1.161,0.98497,0.5,0.6659,0.39539,1.14724,1.42392,1.30024,0.0007328,0.0007328,0.0007328
66,522.694,0.95451,1.07429,1.17478,0.98497,0.5,0.6659,0.39539,1.14724,1.42392,1.30024,0.000713,0.000713,0.000713
67,530.672,1.03107,1.08563,1.2427,0.89581,0.53892,0.67339,0.4067,0.99379,1.43615,1.23898,0.0006932,0.0006932,0.0006932
68,538.524,0.99622,1.14034,1.28659,0.89953,0.55986,0.65092,0.42379,1.02101,1.52358,1.24016,0.0006734,0.0006734,0.0006734
69,546.489,0.90378,0.99624,1.12945,0.89953,0.55986,0.65092,0.42379,1.02101,1.52358,1.24016,0.0006536,0.0006536,0.0006536
70,554.459,0.84739,0.95146,1.13561,0.9865,0.5,0.64908,0.41528,1.10016,1.55,1.24581,0.0006338,0.0006338,0.0006338
71,562.149,0.92246,1.02899,1.19055,0.98945,0.5,0.64696,0.4452,1.09012,1.44339,1.23141,0.000614,0.000614,0.000614
72,569.97,0.855,0.95308,1.14366,0.98945,0.5,0.64696,0.4452,1.09012,1.44339,1.23141,0.0005942,0.0005942,0.0005942
73,577.88,0.88691,1.00479,1.14467,1,0.61973,0.68984,0.44393,1.13131,1.4336,1.26364,0.0005744,0.0005744,0.0005744
74,585.717,0.90099,1.04952,1.18186,1,0.61973,0.68984,0.44393,1.13131,1.4336,1.26364,0.0005546,0.0005546,0.0005546
75,593.684,0.98091,1.01974,1.18404,0.90731,0.6875,0.70352,0.42586,1.28782,1.32227,1.34291,0.0005348,0.0005348,0.0005348
76,601.47,0.86829,0.97652,1.15309,0.9922,0.6875,0.71473,0.43391,1.31407,1.26232,1.34304,0.000515,0.000515,0.000515
77,609.299,0.85825,1.07498,1.1707,0.9922,0.6875,0.71473,0.43391,1.31407,1.26232,1.34304,0.0004952,0.0004952,0.0004952
78,617.105,0.85272,0.89534,1.12533,0.98658,0.6875,0.71615,0.45066,1.24294,1.2287,1.27524,0.0004754,0.0004754,0.0004754
79,624.863,0.75965,0.82799,1.03824,0.98859,0.6875,0.72044,0.43117,1.25739,1.21658,1.26083,0.0004556,0.0004556,0.0004556
80,632.383,0.79972,0.94296,1.10667,0.98859,0.6875,0.72044,0.43117,1.25739,1.21658,1.26083,0.0004358,0.0004358,0.0004358
81,640.105,0.93395,1.0163,1.18087,0.97836,0.6875,0.72172,0.42548,1.33063,1.31746,1.29495,0.000416,0.000416,0.000416
82,647.793,0.95705,1.14062,1.21644,0.97836,0.6875,0.72172,0.42548,1.33063,1.31746,1.29495,0.0003962,0.0003962,0.0003962
83,655.487,0.89879,1.05485,1.16269,1,0.61895,0.73701,0.41526,1.40523,1.40275,1.33374,0.0003764,0.0003764,0.0003764
84,663.255,0.84143,0.94622,1.11178,1,0.61708,0.74522,0.41007,1.43527,1.43726,1.35875,0.0003566,0.0003566,0.0003566
85,670.844,0.81888,0.95914,1.14096,1,0.61708,0.74522,0.41007,1.43527,1.43726,1.35875,0.0003368,0.0003368,0.0003368
86,678.54,0.78554,0.86122,1.04603,1,0.66798,0.75262,0.42382,1.43122,1.42066,1.36694,0.000317,0.000317,0.000317
87,686.349,0.7422,0.83355,1.0449,1,0.68357,0.75229,0.43212,1.43758,1.37278,1.37111,0.0002972,0.0002972,0.0002972
88,694.048,0.85035,0.96145,1.14543,1,0.68357,0.75229,0.43212,1.43758,1.37278,1.37111,0.0002774,0.0002774,0.0002774
89,701.809,0.82213,0.9361,1.08513,0.8941,0.6875,0.73305,0.43975,1.44336,1.36783,1.36838,0.0002576,0.0002576,0.0002576
90,709.486,0.8417,0.93129,1.15692,0.8941,0.6875,0.73305,0.43975,1.44336,1.36783,1.36838,0.0002378,0.0002378,0.0002378
91,717.166,0.72588,1.0103,1.04631,0.88769,0.6875,0.73488,0.44364,1.46425,1.36338,1.39021,0.000218,0.000218,0.000218
92,724.89,0.74213,1.01922,1.03704,0.98821,0.6875,0.74098,0.43946,1.46179,1.31196,1.39796,0.0001982,0.0001982,0.0001982
93,732.456,0.65918,0.9238,0.99398,0.98821,0.6875,0.74098,0.43946,1.46179,1.31196,1.39796,0.0001784,0.0001784,0.0001784
94,740.255,0.74729,1.00371,1.1068,0.98888,0.6875,0.73409,0.4303,1.47191,1.3121,1.41072,0.0001586,0.0001586,0.0001586
95,747.939,0.6737,0.92502,0.97316,0.98657,0.6875,0.73406,0.42441,1.44908,1.31502,1.38446,0.0001388,0.0001388,0.0001388
96,755.578,0.63517,0.90772,0.97129,0.98657,0.6875,0.73406,0.42441,1.44908,1.31502,1.38446,0.000119,0.000119,0.000119
97,763.285,0.67238,0.92195,0.97697,0.98519,0.6875,0.73744,0.41926,1.43164,1.3298,1.36627,9.92e-05,9.92e-05,9.92e-05
98,770.986,0.59599,0.89324,0.93751,0.98519,0.6875,0.73744,0.41926,1.43164,1.3298,1.36627,7.94e-05,7.94e-05,7.94e-05
99,778.722,0.59875,0.8817,0.96338,0.90447,0.6875,0.72902,0.41492,1.40514,1.31454,1.34134,5.96e-05,5.96e-05,5.96e-05
100,786.375,0.61909,0.92076,0.99998,0.98572,0.6875,0.73741,0.42872,1.40235,1.32579,1.34421,3.98e-05,3.98e-05,3.98e-05
